song_name,movie_album,singers
Ekkadiki Nee Parugu,W/o V. Vara Prasad," S.P. Balasubrahmanyam,  Sujatha Mohan,  M.M. Sreelekha"
You &amp; I,Jalsa, Devi Sri Prasad
Ammayi Muddu,Kshana Kshanam," S.P. Balasubrahmanyam,  Chitra"
Nenani Neevani,Kotha Bangaru Lokam, Shweta Pandit
Kaanunna Kalyanam,Sita Ramam (Telugu)," Vishal Chandrashekhar,  Anurag Kulkarni,  Sinduri Vishal,  Sirivennela Seetharama Sastry"
Neekosam,Nenunnanu," M. M. Keeravani,  Shreya Ghoshal,  KK"
Ee Chota Nuvvunna,Johnny," Rajesh Krishnan,  Nanditha"
Chinnanati Chelikade,Yagnam," Mani Sharma,  S.P. Balasubrahmanyam,  Shreya Ghoshal"
Langa Voni,Varsham," Devi Sri Prasad,  Tippu,  Usha"
Nee Tholisariga,Santhosham," R.P. Patnaik,  Usha"
Voddura Sodhara,Manmadhudu, S.P. Balasubrahmanyam
Nuvvem Maya,Okkadu," Mani Sharma,  Shreya Ghoshal"
Nuvvu Naatho Emannavo,Disco Raja, S. P. Balasubrahmanyam
Sirulokinche Chinni,Yamaleela," S.V. Krishna Reddy,  S.P. Balasubrahmanyam,  K. S. Chithra"
Nenu Nenuga,Manmadhudu, S.P.B. Charan
Musugu Veyyoddu,Khadgam," Devi Sri Prasad,  Kalpana"
Sri Anjaneyam,Oosaravelli," Devi Sri Prasad,  M.L.R. Karthikeyan,  Jr. N.T.R."
Kkokko Komali,Narasimha Naidu," Mani Sharma,  Udit Narayan,  Sujatha Mohan"
Meesam Unna,Sneham Kosam, Rajesh Krishnan
Manase Eduru Tirige,Premante Idera," Ramana Gogula,  K. S. Chithra,  S.P. Balasubrahmanyam"
Something Something,Nuvvostanante Nenoddantana, Tippu
Kita Kita Talupulu,Manasantha Nuvve," R.P. Patnaik,  K. S. Chithra"
Gagananiki Udayam Okate,Tholiprema, S.P. Balasubrahmanyam
Sarasalu,Shiva," Mano,  S. Janaki"
Chamak Cham,Kondaveeti Donga," S.P. Balasubrahmanyam,  K. S. Chithra"
Enadana Anukunnana,Eduruleni Manishi," S.A. Raj Kumar,  K. S. Chithra,  Hariharan"
Hamsaro,Cheliyaa," A.R. Rahman,  Arjun Chandy,  Haricharan,  Jonita Gandhi"
Nachave Nizam Pori,Varsham," Devi Sri Prasad,  Adnan Sami,  Sunitha Rao"
Beautiful Love,Naa Peru Surya Naa Illu India," Armaan Malik,  Chaitra Ambadipudi"
Gadhithalupula,Mirapakay," Thaman S,  Karthik,  Geetha Madhuri"
Adirey Adirey,Nuvvostanante Nenoddantana," Jassie Gift,  Kalpana"
Manasuna Unnadi (Female),Priyamainaneeku," Shivashankar,  K. S. Chithra"
Aakasham Digivachi,Nuvvu Naaku Nachchav," Koti,  S.P. Balasubrahmanyam"
Cheliya Cheliya,Manmadhudu, Shaan
Hare Rama,Okkadu," Mani Sharma,  Shankar Mahadevan"
Matanate,April 1st Vidudala," Ilaiyaraaja,  K. S. Chithra,  S.P. Balasubrahmanyam"
Chukkalu Temmana,April 1st Vidudala," Ilaiyaraaja,  K. S. Chithra,  Mano"
Gopikamma,Mukunda," K. S. Chithra,  Ramya Behara"
Kalaga Ochinavu,Pokiri Raja," S.P. Balasubrahmanyam,  Chitra"
Jagamanta Kutaumbam,Chakram," Chakri,  Sri"
Edo Jarugutondi,Fidaa," Aravind Srinivas,  Renuka"
Ghallu Ghallu,Indra," Mani Sharma,  S.P. Balasubrahmanyam,  Mallikarjun"
Cheppave Prema,Manasantha Nuvve," R.P. Patnaik,  Usha"
Pari Poke Pitta,Nuvvostanante Nenoddantana," Mallikarjun,  Sagar"
Aakasa Ganga,Vaana," Kamalakar,  Karthik"
Aakasamlo,Swarna Kamalam, S. Janaki
I Am Very Sorry,Nuvve Nuvve," Koti,  KK"
Dailamo,Mahathma," Sangeetha,  Balaji,  Megha"
Kannu Kottina,Balu ABCDEFG," Udit Narayan,  Sujatha Mohan"
Yela Yela,Aata," Devi Sri Prasad,  Sunitha,  Smitha (Nivedhitha)"
Manasa Manninchavamma,Aadavari Matalaku Ardhalu Veruley," Yuvan Shankar Raja,  Karthik"
Manasanta Nuvve,Manasantha Nuvve," R.P. Patnaik,  Sujatha Mohan,  S.P. Charan"
Veyi Kannulatho,Nee Sneham, R.P. Patnaik
Nee Sneham,Manasantha Nuvve," R.P. Patnaik,  Usha"
Ooruko Hrudayama,Nee Sneham," R.P. Patnaik,  KK"
Neekosam Oka,Happy, Shankar Mahadevan
Yeppatiki (Veyi Kannulatho),Nee Sneham," R.P. Patnaik,  Usha"
Come To The Party,S/O Satyamurthy, Vijay Prakash
Door Number Okati,Oopiri," Geetha Madhuri,  Gopi Sunder"
Nuvve Nuvve,Kalisundham Raa," S.A. Raj Kumar,  Hariharan,  Sujatha Mohan"
Sahasam,Okkadu," Mani Sharma,  Mallikarjun"
Hrudayamane,Pelli Sandadi," S.P. Balasubrahmanyam,  Chitra"
Chali Gaali Chuudduu,Gentleman," Haricharan,  Padmalatha,  Malvika Sriram,  Mani Sharma"
Mooga Manasulu,Mahanati," Anurag Kulkarni,  Shreya Ghoshal"
Poola Ghuma Ghuma,Sri Anjaneyam, Shreya Ghoshal
Joole Joole,Varsham," Devi Sri Prasad,  Kalpana,  Mallikarjun"
Rukku Rukku Rukkumani,Pelli," S.A. Raj Kumar,  Mano"
Vayari Bhama,Thammudu, Ramana Gogula
Gundenindagudi,Subhakankshalu," S. P. Balasubrahmanyam,  Renuka"
Bham Bham Bole,Indra," Mani Sharma,  Shankar Mahadevan,  Hariharan"
Neetho Edo,Paisa," Sai Kartheek,  Shweta Mohan"
Koyilamma Paadutunnadi,Vamsi," Udit Narayan,  Sujatha Mohan"
Gundello Gulabi,Malleswari," Shankar Mahadevan,  K. S. Chitra"
Itu Itu Ani Chitikelu Evvarivo,Kanche," Abhay Jodhpurkar,  Shreya Ghoshal"
Evaro Choodali,Pournamy," Devi Sri Prasad,  K. S. Chithra"
Nallanchu Tella Cheera,Donga Mogudu," S.P. Balasubrahmanyam,  P. Susheela"
Jalsa Jalsa (Remix),Jalsa," Baba Sehgal,  Devi Sri Prasad"
Nammaku Nammaku,Rudraveena," Ilaiyaraaja,  S.P. Balasubrahmanyam"
Yem Jaruguthundi,Mahathma," Karthik,  Sangeetha"
