song_name,movie_album,singers
Evarini Aadagali,Janaki Ramudu," K. V. Mahadevan,  S.P. Balasubrahmanyam,  P. Susheela"
Changre Hangaama,Prema Katha," Sandeep Chowta,  Soumya Rai"
Banthi Laanti Banthayi,Allari Primikudu (Original Motion Picture Soundtrack)," Vennelakanti,  S.P.Balasubramanyam,  Chitra"
Sirivennela - Lofi,Sirivennela - Lofi," Anurag Kulkarni,  S VIII"
Awaara,Josh, Soumya Rai
Nee Chenthe Oka,Swarabhishekam," Vidhya Sagar,  K. S. Chithra,  Mano"
Nijamenani Nammani,Kanche, Shreya Ghoshal
Rama Chiluka Ragalu F,Sree Srimathi Satyabhama," K. S. Chithra,  S.V. Krishna Reddy"
Mounamenduke Koila,Panchadara Chilaka, S.P. Balasubrahmanyam
Em Papa,M. Dharmaraju M.A.," Raj-Koti,  K. S. Chithra,  S.P. Balasubrahmanyam"
Vinudu Vinudu,Sitha Rama Raju," M. M. Keeravani,  Nagarjuna,  Srivalli"
Thidathara Kodathara,Ashta Chamma, Sreerama Chandra
Nammalo Ledo..,Ashta Chamma," Sreerama Chandra,  Manasa Veena"
Chinnari Manasuku,Sankalpam," Koti,  K. S. Chithra,  S.P. Balasubrahmanyam"
Patallo,Sirivennela," P. Susheela,  N.S. Prakash Rao"
Kammani Kantireppala,Pellikanuka," M.M. Keeravani,  K. S. Chithra,  S.P. Balasubrahmanyam"
Chettumedhi Usiri,Taraka Ramudu," Koti,  S.P. Balasubrahmanyam"
Papiki Papiki,Criminal (Original Motion Picture Soundtrack)," Seetharama Shastry,  S.P.Balasubramanyam,  Chitra"
Sontham,Sontham," Devi Sri Prasad,  Tippu"
Gala Gala Paare,Srimathi Vellostha," Koti,  K. S. Chithra,  S.P. Balasubrahmanyam"
Kokkarako,Prema Katha," Sandeep Chowta,  Rajesh Krishnan"
Dandalandi Kotha,Taraka Ramudu," Koti,  K. S. Chithra,  Krishnam Raju"
Prathi Okariki Tholi,Oka Chinna Maata," Bharadwaj,  K. S. Chithra,  S.P. Balasubrahmanyam"
Pada Pada Padara,Premaku Velayera," S.V. Krishna Reddy,  S.P. Balasubrahmanyam,  Anuradha Sriram"
Prema Devinchuma,Nenu Premisthunnanu," Sirpi,  Mano"
Swapnalanu,Yuvasena," Jassie Gift,  Sandeep"
Avuno Teliyadu,Entha Manchivaadavuraa, Shreya Ghoshal
Nee Kokakintha,Donga Mogudu," S.P. Balasubrahmanyam,  S. Janaki"
Pekallo Jokerla,Assembly Rowdy," K. V. Mahadevan,  S.P. Balasubrahmanyam,  K. S. Chithra"
Agiripove Ramachilaka,Panjaram," Raj,  M.M. Sreelekha"
Ekimeedaa,Gautamiputra Satakarni," Udit Narayan,  Shreya Ghoshal"
Na Kanne Hamsa,Jodi," A.R. Rahman,  Rafi"
Naalo Innalluga,Sridevi Soda Center," Dinker,  Ramya Behara"
Chhamaku Chhamaku,Antahpuram," Mano,  Swarnalatha"
Rama Chiluka Ragalu M,Sree Srimathi Satyabhama," S.P. Balasubrahmanyam,  S.V. Krishna Reddy"
Pandu Vennelo Ee Venu Gaanam,Janaki Weds Sriram, Tina Kamal
Ee Parikshalo Thannaku,Greekuveerudu," Thaman S,  Haricharan,  Vandhana"
Manasa Yenduku Kanniru,Vazram," S.V. Krishna Reddy,  S.P. Balasubrahmanyam,  Renuka,  Srilatha"
Chilipi Chirugali,Dongaata," Bharadwaj,  K. S. Chithra,  S.P. Balasubrahmanyam"
Prema O Prema,Gokulamlo Seetha, S.P. Balasubrahmanyam
Ninnu Choosi,Maa Nanna Ki Pelli," Koti,  S.P. Balasubrahmanyam,  Sujatha Mohan"
O Vendi Vennela,Little Soldiers, Srilekha
Kanivini Erugani,Kanyadhanam," Koti,  S.P. Balasubrahmanyam"
Yedo Tahaa Tahaa,Anaganaga Oka Roju," Mano,  Swarnalatha"
Ji Jjinaka Jinkara,Surya IPS," Ilaiyaraaja,  S. Janaki,  S.P. Balasubrahmanyam"
Oho Bhama,Top Hero (Original Motion Picture Soundtrack)," Jonnuvittula,  S.P.Balasubramanyam,  Chitra"
"Gummadi Gummadi (From ""Daddy"")",Priyamaina Nannaku, Hariharan
Podde Erugani,Gokulamlo Seetha, Chitra
Prema Sangati Emito,Prema Katha," Sandeep Chowta,  Soumya Rai"
Aakalakalaka,Mogudu," B. Babushankar,  Chinmayi Sripada,  Hemachandra"
Vunnamata,Rukmini," S.P. Balasubrahmanyam,  K. S. Chithra"
Chaitrama Raa,Pavitra Prema," Koti,  K. S. Chithra,  S.P. Balasubrahmanyam"
Aathmathvam,Swarna Kamalam, S. Janaki
Hey Paaru,Galipatam," Bheems Ceciroleo,  Adnan Sami,  Shreya Ghoshal"
Eppudaithe Puttindo,Paisa," Sai Kartheek,  Krishna Vamsi,  Vitthal,  Venugopal,  Dhanraj,  Tagubothu Ramesh,  Chandra Bhushan"
Ramanama Mentho,Maa Aavida Collector," Vandemataram Srinivas,  K. S. Chithra,  S.P. Balasubrahmanyam"
Thalli Dhandaale,Lorry Driver," S.P. Balasubrahmanyam,  Chitra"
Udatha Udatha,Maayalodu (Original Motion Picture Soundtrack)," Seetharama Shastry,  S.P.Balasubramanyam"
Manasaina,Aaha," Vandemataram Srinivas,  Srinivas"
Navvindi Malle Chandu,Kallu, Sesha Girisham
Andaralaga,Kudirithe Kappu Coffee," Yogeshwara Sharma,  K. S. Chithra"
Hai Hai Venelamma,Taraka Ramudu," Koti,  S.P. Balasubrahmanyam"
Paara Hushar,Swayam Krishi," S.P. Balasubrahmanyam,  S. Janaki"
Gallamundi Bosu,Rakshana (Original Motion Picture Soundtrack)," Seetharama Shastry,  S.P.Balasubramanyam,  Chitra"
Chittikoona ( Happy ),Maa Aayana Bangaram," Vandemataram Srinivas,  S. Janaki,  S.P. Balasubrahmanyam"
Oppuko Sundari,M. Dharmaraju M.A.," Raj-Koti,  Mano"
Neerugari Paripoku,Chettu Kinda Pleader," S.P. Balasubrahmanyam,  K. S. Chithra"
Thummeda Thummeda,Bawa Bawa Panneeru, K. S. Chithra
Kundanapu Bommaki,Sitha Rama Raju," M. M. Keeravani,  S.P. Balasubrahmanyam,  S.P.Sailaja"
Kuyile Kuyile,Vazram," S.V. Krishna Reddy,  K. S. Chithra,  S.P. Balasubrahmanyam"
Vayari Bhama - Official Remix,"Vayari Bhama - Official Remix (From ""Thammudu"")", Ramana Gogula
Hey Vastaava,Aavida Maa Aavide," Sri,  Anuradha Sriram"
E Ragamundi,Manasulo Maata, S. P. Balasubrahmanyam
Polimeradhatipothunna,Sirivennela," S.P. Balasubrahmanyam,  B. Vasantha"
Thalayetthi,Mahathma, S P Balasubrahmanyam
Undi Undi Urimindi,Panchadara Chilaka, S.P. Balasubrahmanyam
Rangu Rangu Rekkala,Preminche Manasu Alludugaru Vachcharu Telugu, M. M. Keeravani
Maatatho Cheppalani,Bhale Mavayya," Raj-Koti,  K. S. Chithra,  S.P. Balasubrahmanyam"
Bagundhammo,Pandaga," M. M. Keeravani,  K. S. Chithra,  Mano"
Chakravarthiki Veedi,Money, S.P. Balasubrahmanyam
Shivani Bhavani (Male),Swathi Kiranam, S.P. Balasubrahmanyam
Jaamurathri,Top Hero (Original Motion Picture Soundtrack)," Jonnuvittula,  S.P.Balasubramanyam,  Chitra"
Mudante Vadante,Criminal (Original Motion Picture Soundtrack)," Vennelakanti,  S.P.Balasubramanyam,  Chitra"
Tajmahalani,Chandralekha," Sandeep Chowta,  Rajesh Krishnan,  Sunitha"
Ko Ante Koti,Kshana Kshanam," Sridevi,  Sirivennela Seetharama Sastry,  M. M. Keeravani,  S. P. Balasubrahmanyam"
Prakruthi Kanthaku,Sirivennela, S.P. Balasubrahmanyam
O Vendi Vennela Male Version,Little Soldiers," Ram Chakravarthy,  Vishnukanth"
Manasuna,Gokulamlo Seetha," Chitra,  Malgudi Shubha"
Adugadugunaa,Okkadunnadu, M. M. Keeravani
Bamchiki Bam Bam,Allari Mogudu, Chitra
Prema Modhalaite,Suprabhatam, S.P. Balasubrahmanyam
Neeke Nuvvu,Modati Cinema," Swaraj,  Shreya Ghoshal"
Love Is Blind,Anaganaga Oka Roju," Mano,  K. S. Chithra"
Jaliga Jabilamma,Swathi Kiranam," Vani Jayaram,  K. S. Chithra"
Marugela,Preminche Manasu Alludugaru Vachcharu Telugu," M. M. Keeravani,  Hariharan"
Sanna Jaaji,Allari Primikudu (Original Motion Picture Soundtrack)," Seetharama Shastry,  S.P.Balasubramanyam,  Chitra"
Niggadeesi Adugu,Gayam, S.P. Balasubrahmanyam
O Paapa Muddu Paapa,Top Hero (Original Motion Picture Soundtrack)," Jonnuvittula,  S.P.Balasubramanyam"
Evarini Choosthu Unna,Oka Chinna Maata," Bharadwaj,  K. S. Chithra,  S.P. Balasubrahmanyam"
Sunday Sunday,Prema Katha," Sandeep Chowta,  K. S. Chithra,  Mano"
Enno Cheppalunkunna,Naalo Vunna Prema," Koti,  Hariharan,  Sujatha Mohan"
Oh Priya Neekosam,Suryudu, D. Saarangapaani
Sadicheyakamma,Taraka Ramudu," Koti,  S.P. Balasubrahmanyam"
Ooru Natta Naadivaaye,Narappa," Anurag Kulkarni,  Mani Sharma"
Amrutham Title Song,Amrutham Title Song, Kalyani Malik
Hello Pillo,Sisindhri," Raj,  K. S. Chithra,  S.P. Balasubrahmanyam"
Jeevinchu Prema,Pellikanuka," M.M. Keeravani,  K. S. Chithra,  Vandemataram Srinivas"
Maa Ille Chandranivasam,Gillikajjalu," S.P. Balasubrahmanyam,  K. S. Chithra"
Hello Antoo,Ashta Chamma," Srikrishna,  Sushma"
Hey Papa,Gokulamlo Seetha," Mano,  Malgudi Shubha"
Emoy Ninnenoy,Sitha Rama Raju," M. M. Keeravani,  S.P. Balasubrahmanyam,  S.P. Sailaja"
Mrignayanaa,Gautamiputra Satakarni," S.P. Balasubrahmanyam,  Shreya Ghoshal"
Konchem Agara,Asha Asha Asha," Hariharan,  Sujatha Mohan,  Annupamaa"
Atu Itu Chudake,Kalasinaduddam," S.A. Raj Kumar,  K. S. Chithra,  S.P. Balasubrahmanyam"
Oo Lele Oo Lele,Sindhooram," Malaysia Vasudevan,  Mohandas,  Srinivas Chakravarthi,  Srinivas"
Andhala Seemalo,Gokulamlo Seetha," Mano,  Chitra"
Aye Rukkamma Chukkamma,Chaala Bagundhi," Koti,  K. S. Chithra"
Allade Allade,Rayalaseema Ramanna Choudary," Mani Sharma,  Harini,  Hariharan"
Naari Jana Priyathama,Allari Primikudu (Original Motion Picture Soundtrack)," M.M.Keeravani,  S.P.Balasubramanyam,  Chitra"
Sarigamapadani,Rukmini," S.P. Balasubrahmanyam,  K. S. Chithra"
Ramudu Manchi,Taraka Ramudu," Koti,  S.P. Balasubrahmanyam"
Haire Haire,Panchadara Chilaka, Rajesh Krishnan
Choosthunna Fusion Mix,Mogudu," B. Babushankar,  Karthik"
Thelavarademo (Male),Sruthilayalu," K. V. Mahadevan,  K.J. Yesudas"
Prema Johaar,Hitler," Murali,  Mano"
Oorike Undade,Sindhooram, K. S. Chithra
Pillisthe Palukutanani,Pilisthe Palukutha, S.P. Balasubrahmanyam
Yedu Malleu Ettu Sukumari Ki,Sindhooram," Madhavapeddi Satyam,  Krishnam Raju,  Praveen"
Suprabhathamlo Melukunnana,Swapna Lokam, S. P. Balasubrahmanyam
Chaali Chalani Kulukulalona,Preminche Manasu Alludugaru Vachcharu Telugu," M. M. Keeravani,  K. S. Chithra,  P. Jayachandran"
Chilakamma,Asha Asha Asha," P. Unnikrishnan,  Anuradha Sriram"
Erra Errani Kurradhana,M. Dharmaraju M.A.," Raj-Koti,  K. S. Chithra,  S.P. Balasubrahmanyam"
Swapnala Venta Swargala Veeta,Dongaata," Bharadwaj,  S.P. Balasubrahmanyam"
Tango Kalalo,Cheliyaa," A.R. Rahman,  Hriday Gattani,  Tanvi Shah"
Kanule Vethike Veluge,Kanyadhanam," Koti,  K.J. Yesudas"
Bhadram Be Carefull,Money," Sri Maruthi,  Chakravarthi"
Raajaya Namaha,Rajendrudu Gajendrudu (Original Motion Picture Soundtrack)," Bhuvana Chandra,  S.P.Balasubramanyam"
Beedilu Thagandi,Top Hero (Original Motion Picture Soundtrack)," Seetharama Shastry,  S.P.Balasubramanyam,  Chitra"
Gopala Krishnudammaa,Naalo Vunna Prema," Koti,  K. S. Chithra,  Tippu"
Yeavaro Okaru,Ankuram," Hamsalekha,  S.P. Balasubrahmanyam,  K. S. Chithra"
Kanne Chiluka,Lorry Driver," S.P. Balasubrahmanyam,  Chitra"
Mounamendhuku,Classmates," Koti,  Mallikarjun,  Anjana Sowmya"
Ko Ko Kopama,Pandaga," M. M. Keeravani,  S.P. Balasubrahmanyam"
Prematho Ninu,Nenu Premisthunnanu," Sirpi,  K. S. Chithra,  Mano"
Entha Panjesindee,Dongodu," Vidhya Sagar,  Hariharan,  Sujatha Mohan"
Athala Vithala,Apathbhandavudu, S.P. Balasubrahmanyam
Chilipi Yatralaku,Aditya 369," Ilaiyaraaja,  K. S. Chithra,  S.P. Balasubrahmanyam"
Emo Emo Emoo,Devadas, P V N S Rohit
Kanne Paapa,Rakshana (Original Motion Picture Soundtrack)," M.M.Keeravani,  Chitra"
Emanukunna Emaina,Ooyala," S.V. Krishna Reddy,  S.P. Balasubrahmanyam"
Gundello Gudiganta,Gowri," Koti,  Mallikarjun,  Usha"
Hello Basu,Sisindhri," Raj,  Mano,  Muralidhar,  Kota Srinivasa Rao"
Raa Mundadugeddam,Kanche," Vijay Prakash,  Keerti Sagathia"
Sagatu Manishi,Ammo Okato Thareeku," Vandemataram Srinivas,  K.J. Yesudas"
Ottasi Cheppava,Aathma Bandham," S.P. Balasubrahmanyam,  Chitra"
Mellaga Lofi Mix,Varsham," S.P.Charan,  Sumangali"
Now or Never,Vedam (Original Motion Picture Soundtrack)," Ranjith,  Deepu,  Geetha Madhuri,  Chaitra"
Padana Gopala,Gayam," Mano,  Eeshwar,  Chitra"
Andari Mundara,Nenu Premisthunnanu," Sirpi,  K. S. Chithra,  S.P. Balasubrahmanyam"
Kaatuka Pittala,Uugadi, S.V. Krishna Reddy
Antarikshayanam,Antariksham 9000 KMPH," Kaala Bhairava,  Sirivennela Seetharama Sastry"
Kanchare Kanchare,Kalasinaduddam," S.A. Raj Kumar,  Hariharan,  Sujatha Mohan"
Viche Chirugali (Male),Naalo Vunna Prema," Koti,  S.P. Charan"
Chinkule Okkati,Pavitra Prema," Koti,  K. S. Chithra,  S.P. Balasubrahmanyam"
Kotraa Dappu,Bedurulanka 2012," Mani Sharma,  Prudhvi Chandra"
Together We Rock (Telugu),Rrr Ost Vol-7, M.M. Keeravaani
Hello Hello Darling,Swayam Krishi, S.P. Balasubrahmanyam
Matotundi Magada,Bava Nachadu," M. M. Keeravani,  Shankar Mahadevan,  Anuradha Sriram"
Diri Diri Diri Diridi,Manasulo Maata," Udit Narayan,  Sunanda Sharma"
Sreekaram Edi Maro Charithraki,Chaala Bagundhi," Koti,  Poornima,  Kalpana,  Parthasarathy"
Story Theme,Sri Seetharamula Kalyanam Chothamu Rarandi, M. M. Keeravani
Vunnamata Vinnavista,Sardukupodam Randi," S.V. Krishna Reddy,  Udit Narayan,  Sunitha"
Bommava Ammadu,Rajendrudu Gajendrudu (Original Motion Picture Soundtrack)," Seetharama Shastry,  S.P.Balasubramanyam,  Chitra"
Ashta Chamma Theme,Ashta Chamma, Sushma
Oopalaenaya,Anaganaga Oka Roju," Mano,  K. S. Chithra"
Prema Prema Chepama,Rukmini," S.P. Balasubrahmanyam,  K. S. Chithra,  Vidyasagar"
Mental Madhilo,OK Bangaram," A.R. Rahman,  K. Krishna Chaitanya,  Jonita Gandhi"
Segalu Chimmuthondhi,Nawab," A.R. Rahman,  Sunitha Sarathy,  Nakul Abhyankar,  Sathyaprakash D"
Jaago Narasimhaa Jaagore,Syeraa Narasimha Reddy," Shankar Mahadevan,  Haricharan,  Anurag Kulkarni"
Pelliki Mundu Oka Saari,Dharma Kshetram," Ilaiyaraaja,  S.P. Balasubrahmanyam,  S. Janaki"
Ninna Monna Maatho,Chelikaadu," S.A. Raj Kumar,  K. S. Chithra,  Sujatha Mohan"
Joru Joruga,Kshemmanga Velli Labamga Randi," Vandemataram Srinivas,  Sukhwinder Singh,  Nityasree"
Vayyari Bhama,Number One (Original Motion Picture Soundtrack)," Bhuvana Chandra,  S.P.Balasubramanyam,  Chitra"
Vishakapatnam Beechi,Doragaariki Donga Pellam," Koti,  S.P. Balasubrahmanyam"
Bhamaro Nanne Pyar  Karo,Ghatothkachudu," S.V. Krishna Reddy,  S.P. Balasubrahmanyam,  Swarnalatha"
O Dywama,Pavitra Prema," Koti,  K.J. Yesudas"
Pakka Commercial - Title Song,Pakka Commercial," Jakes Bejoy,  Hema Chandra"
Gundello Dhada Dhada,Antham," S.P. Balasubrahmanyam,  Chitra"
Ramachilakamma,Maa Aavida Meeda Ottu Mee Aavida Chala Manchidi," Sirivennela Sitaramasastri,  Chandrabose,  Srinivasa Murthy,  Srinivas"
Emitouthunnadhi,Ide Naa Modati Prema Lekha," Jeans Srinivas,  Swarnalatha"
O Chelli Anarakali,Sindhooram, Suresh Peters
Aiyayo,Rangeli," A.R. Rahman,  Annupamaa"
"Thalli Pegu (From ""Narappa"")","Thalli Pegu (From ""Narappa"")"," Saindhavi,  Mani Sharma"
Gunde Chatuga (Male),Classmates," Koti,  Hemachandra"
Tholisaari,Premante Pranamista," A.R. Rahman,  K. S. Chithra,  Unni Krishnan"
Pasvaado Emito,Sitha Rathnam Gari Abbaye, S.P. Balasubrahmanyam
Yeendaammo,Anaganaga Oka Roju," Mano,  Lalitha Sagari"
Athadilo Edo,Kudirithe Kappu Coffee," Yogeshwara Sharma,  Hamiska Iyer"
Bhaga Bhagamani,Kanche, Vijay Prakash
Endaka Egirevamma,Srinivasa Kalyanam," S.P. Balasubrahmanyam,  P. Susheela"
Ninne Premincha,Naa Hrudayamlo Nidurinche Cheli," Mano,  K. S. Chithra"
Manasaa Nannu Vadhili,Nawab," A.R. Rahman,  Anuradha Sriram,  Pooja Av,  Aparna Narayanan"
Parameshwarani,Apathbhandavudu, S.P. Balasubrahmanyam
Okate Kadhaa,Oke Oka Jeevitham (Original Motion Picture Soundtrack)," Gowtham Bharadwaj,  Krishna Kanth,  Jakes Bejoy"
Venavantra Abbai,Aaro Pranam," S.P. Balasubrahmanyam,  Jikki,  K. S. Chithra"
Athmatvam Girija,Sitha Rama Raju," M. M. Keeravani,  S.P. Balasubrahmanyam"
Gunde Chatuga (Female),Classmates," Koti,  Chaitra"
Kottandayya,Pokiri Raja, S.P. Balasubrahmanyam
Anaganaganaga Lofi Mix by Abhishek Martyn,Anaganaganaga Lofi Mix by Abhishek Martyn," Sirivennela Seetharama Sastry,  Thaman S,  Armaan Malik"
O Maina,Antham, Chitra
Yopam Pushpam,Sutradharulu," S. P. Balasubrahmanyam,  S.P. Sailaja"
Dum Dum Dum,Dongodu," Vidhya Sagar,  K. S. Chithra,  Valisha Babji"
Hai Rabba,Sri Seetharamula Kalyanam Chothamu Rarandi," M. M. Keeravani,  K. S. Chithra,  Radhika"
Samba Samba,Love Birds," A.R. Rahman,  Aslam Musthafa"
Pileche (Trending Version),Pileche (Trending Version)," Mani Sharma,  Hemachandra,  Shweta Mohan"
Nyaya Devathaku,Korukunna Priyudu," Koti,  S.P. Balasubrahmanyam"
Evaru Choodani,Sri Seetharamula Kalyanam Chothamu Rarandi," M. M. Keeravani,  K. S. Chithra"
Adagalanundi Oka,Little Soldiers," Sri,  Deepika,  Vishnukanth,  Srilekha"
Varevaa,Money," Sri Maruthi,  Ramgopal Varma,  Siri Vennela Seetha Ramasasthry,  Sathyam"
Kamuni Patnam,Nippu Ravva," S.P. Balasubrahmanyam,  Chitra"
Dhirana Thmo Thakita,Navvuthu Bathakalira," Devi Sri Prasad,  S.P. Balasubrahmanyam,  Sumangali"
Vellamma Karthika Jyothi,Suryudu, K. S. Chithra
Chinari Kittaya Putti,Gillikajjalu," S.P. Balasubrahmanyam,  K. S. Chithra"
Muvvala Navakala Lofi Mix,Pournamy," S.P.Balasubrahmanyam,  K. S. Chithra"
Havva Havva,Oh Chinadana," Vidhya Sagar,  Mano,  Swarnalatha"
A Ale Ranattu,Rowdigari Pellam," S.P. Balasubrahmanyam,  Chitra"
Hatteri Chintamani,Gamyam," Deepu,  Gayatri"
Aoura Laila,Veedevadandee Babu," Sirpi,  Manu"
Kurrakaru Poojinche,Oka Chinna Maata," Bharadwaj,  K. S. Chithra,  S.P. Balasubrahmanyam"
Nannu Nammanee,Nawab," A.R. Rahman,  Shakthisree Gopalan,  Lady Kash"
Chitapata Chinukulu,Aithe, M.M. Keeravaani
Eppudu Nee Roopamlo,Mogudu," B. Babushankar,  Karthik"
Siva Siva Moorthyvi,Rukmini," S.P. Balasubrahmanyam,  Mano"
Pellivaramandi .. Mee Intikochinamandi,Pellivaramandi," K. Veeru,  S.P. Balasubrahmanyam,  S.P. Charan,  K. S. Chithra"
Malli Malli,Aalu Magalu, S. P. Balasubrahmanyam
Oye Oye,Pokiri Raja," S.P. Balasubrahmanyam,  Chitra"
Madhuramu Kadha,Oka Chinna Maata," Bharadwaj,  K. S. Chithra"
Chalekki Undanuko,Antham," Chitra,  Jojo"
Hai Re Hai,Sindooram, Srinivasa Chakravarthy
Andam Emitante,W/o V. Vara Prasad," S.P. Balasubrahmanyam,  K. S. Chithra"
Aiswayara Rai O Emo,Ramudochadu," S.P. Balasubrahmanyam,  Suresh Peters"
Eppudainna - BGM,Mahanubhavudu - BGM, Swetha Pandit
Jago Jago Junior,Vechivunta," Akash,  Ravi Varma"
Dhivi Dhari Veedi Ila Jaaripadi,Chaala Bagundhi," Koti,  S.P. Balasubrahmanyam,  Sangeetha"
Thade Paamayye,Suprabhatam, Ashok Khosla
Ekkadundhi Nyayam,Kanyadhanam," Koti,  K.J. Yesudas"
Samayama,Gamyam, Sujatha Mohan
Pallello Kala Undhi,Yatra, S. P. Balasubrahmanyam
Okkokka Vana Chukka,Pokiri Raja," S.P. Balasubrahmanyam,  Chitra"
Devudi Gullo,Maa Nanna Ki Pelli," Koti,  K. S. Chithra"
Saaho Saarvabowma Saaho,Gautamiputra Satakarni," Vijay Prakash,  Keerthi Sagathiya"
Bhalegundi Bhalegundi,Kanyadhanam," Koti,  S.P. Balasubrahmanyam"
Konda Kommuna,Vasantha," Vandemataram Srinivas,  Swarnalatha"
Chaalle Gaani,Gamyam," Chaitanya,  Sunitha"
Enado Jarigina,Gowri," Koti,  Mano"
Varevva Varahala,M. Dharmaraju M.A.," Raj-Koti,  K. S. Chithra,  Mano"
Antha Naa Istam,Kauravudu," Mani Sharma,  Muralidar,  Dharma Teja"
Edi Prema Charithraki,Kanyadhanam," Koti,  K.J. Yesudas"
Pakkumantu,Pelli Sambhandham, S.A. Raj Kumar
Raavayya,Nippu Ravva, S.P. Balasubrahmanyam
Bhantureethi Koluvu,Ntr Biopic," K. S. Chithra,  Sreenidhi Tirumala"
Puvva Puvva Vayasu,Nayudu Gari Kutumbam," S. P. Balasubramaniyam,  K. S. Chitra"
Em Manthram,Gowri," Koti,  Nithya Santhoshini"
Repe Lokam,Love Birds," A.R. Rahman,  Unni Krishnan,  Sujatha Mohan"
Entha Sepaina,Antham, Chitra
Pelli Dochindoi,Navvulaata," M.M. Sreelekha,  K. S. Chithra,  S.P. Balasubrahmanyam"
Kasai Katthi Padhunu,Speedunnodu," Revanth,  DJ Vasanth"
Manditho Paatugaa,Yatra, Sai Charan
Chitapata Chinukula Vana,Priya O Priya," Koti,  K. S. Chithra,  S.P. Balasubrahmanyam"
Bang Bang,Bava Nachadu," M. M. Keeravani,  Shankar Mahadevan,  Sunitha Rao"
Jigi Jigi Jinka,Gowri," Koti,  Smitha (Nivedhitha),  Ravi Varma"
Ayyo Ayyayyo,Asha Asha Asha," Suresh Peters,  Sujatha Mohan,  G.V. Prakash Kumar"
Chamaku Chamaku Manu,Rayalaseema Ramanna Choudary," Mani Sharma,  Sukhwinder Singh,  K. S. Chithra"
Dikkulani Daatindhi,Nenu, Karthik
Oka Cheli,Asha Asha Asha," S.P. Balasubrahmanyam,  Swarnalatha"
Dandalu Pettu,Mamagaru, S. P. Balasubrahmanyam
Kuhu Kuhu Kuyavaa,Adrushtam," S.P. Balasubrahmanyam,  Chitra"
Amma Donga,Rowdi Mogudu," S.P. Balasubrahmanyam,  K. S. Chithra"
Come On Come On,Love Birds," A.R. Rahman,  Mano"
Theme Music,Number One (Original Motion Picture Soundtrack), S.V. Krishna Reddy
Ammammo,Balaram Krishndu," S.P. Balasubrahmanyam,  Chitra"
Asalem Gurthukuradhu - Lofi Mix,"Asalem Gurthukuradhu - Lofi Mix (From ""Antahpuram"")", K. S. Chithra
Eeyalle Achamaina,Mamagaru," S. P. Balasubrahmanyam,  P.B.Swarnalatha"
Kannadu Maa Ayya,Aathma Bandham," S.P. Balasubrahmanyam,  Vani Jairam"
Galli Loni Matti Mattiki,Satya, Rajesh Krishnan
Yepudokapudu Kalanthu,Rangeli, S. Janaki
Amitabh Bachan Haitu,Swapna Lokam," Udit Narayan,  Sharada"
Samara Shankham - Nee Kanulalo Kolimai Ragile Kaledoo,Yatra, Kaala Bhairava
Nee Ohallo,Sri Seetharamula Kalyanam Chothamu Rarandi," M. M. Keeravani,  Sunitha,  Suresh Peters"
Naa Kannulalo,W/o V. Vara Prasad," S.P. Balasubrahmanyam,  K. S. Chithra"
Mummu Mummu Muddistha,Oka Chinna Maata," Bharadwaj,  Mano,  Srilekha"
Aiswarya Rai Neeku,Preminche Manasu Alludugaru Vachcharu Telugu," M. M. Keeravani,  Naveen"
Samajavaragamana DJ A.Sen Lo-Fi Mix,Ala Vaikunthapurramuloo, Sid Sriram
Deelaiko Vango,Rajendrudu Gajendrudu (Original Motion Picture Soundtrack)," Bhuvana Chandra,  S.P.Balasubramanyam"
Lechindi Lediki Parugu,Money," S.P. Balasubrahmanyam,  Chakravarthi,  Chitra"
Rama Hay Rama,Veedevadandee Babu," Sirpi,  Manu,  Geeta"
Norara Navveddam,Navvuthu Bathakalira," Devi Sri Prasad,  S.P. Balasubrahmanyam"
I Love You Love You,Veedevadandee Babu," Sirpi,  Manu"
Kalalenduku,Sutradharulu," S. P. Balasubrahmanyam,  S.P. Sailaja"
Gundelo Sandadi,Preminche Manasu Alludugaru Vachcharu Telugu," M. M. Keeravani,  Sasi Preetham,  K. S. Chithra"
Maa Father O Tiger,Little Soldiers, Mano
Choostha Choostane,Nenu, Karthik
Adhi Bhikshuvu,Sri Vennila, S. P. Balasubrahmanyam
Hai Shabba,Nippu Ravva," S.P. Balasubrahmanyam,  Chitra,  Chorus"
Jam Jam Jam Jam,Maanikyam, S.P. Balasubrahmanyam
Endhaku Endhaku,Nenu, Karthik
Maradhalu Pilla,Nayudu Gari Kutumbam," S. P. Balasubramaniyam,  K. S. Chitra"
Madhuramaina Raagala F,Sneha Sangamam," K. S. Chithra,  Nadeem-Shravan"
Surajya Manaleni,Gayam, S.P. Balasubrahmanyam
Chelimeeda,Gayam," Mano,  Chitra"
Earu Jolapadenayya Sami,Chakravarthy, S.P. Balasubrahmanyam
Puvvai Virise Pranam,Ranga Maarthaanda, Ilaiyaraaja
"Tears, Blood And Breach (Telugu)",Rrr Ost Vol-5, M.M. Keeravaani
Adarahoo Andamaa,Chilakkottudu," S.P. Balasubrahmanyam,  Chitra"
Randi Kadali Randi,Nippu Ravva," S.P. Balasubrahmanyam,  Chorus"
Timentha,Nippu Ravva," S.P. Balasubrahmanyam,  Chorus"
Raara Aatagaada,OK Bangaram," A.R. Rahman,  Aaryan Dinesh Kanagaratnam (ADK),  Darshana KT,  Shashaa Tirupati"
