,song_name,movie_album,singers
995,Balakumari Syga,Pilla Nachindhi," Koti,  K. S. Chithra,  S.P. Balasubrahmanyam"
996,Lovvuki Age,Kshemmanga Velli Labamga Randi," Vandemataram Srinivas,  Udit Narayan,  Anuradha Sriram"
997,Konangi Konangi,Chanti (New)," Sri,  Kalpana"
998,Ontlo Netturu,Chanti (New)," Sri,  Karthik,  Anuradha Sriram"
999,Jallu Manada,Modati Cinema," Swaraj,  Sunitha,  S.P. Charan"
1000,Sri Saradamba,Sruthilayalu," K. V. Mahadevan,  S. Janaki"
1001,"Lali Jo Lali Jo (From ""Indhrudu Chandhrudu"")",Priyamaina Nannaku, S.P. Balasubrahmanyam
1002,Takadhimi (Club Version),Ami Thumi," Sweekar Agasthi,  Ramya Behara"
1003,Naapadam,Yuvakudu," Mani Sharma,  Parthasarathy"
1004,Dolu Baja Sannayi,Kalyana Ramudu," Mani Sharma,  Shankar Mahadevan"
1005,Evamma Vainamamamma,Sri Seetharamula Kalyanam Chothamu Rarandi," M. M. Keeravani,  K. S. Chithra,  S.P. Balasubrahmanyam,  Sunitha"
1006,Mattiloni Chettu,Dhoni," Ilaiyaraaja,  S.P. Balasubrahmanyam"
1007,Maikam Kaadidi,Yuvakudu," Mani Sharma,  Charan"
1008,Dimdim Thara Dimdim Thara,Oh Chinadana," Vidhya Sagar,  S.P. Balasubrahmanyam,  Uma Ramanan"
1009,Adavalla Mandi Memu,Kshemmanga Velli Labamga Randi," Vandemataram Srinivas,  K. S. Chithra,  Mano"
1010,Magha Masam,Neeke Manasichanu," Sri,  Rajesh Krishnan,  Gopika Poornima"
1011,Chik Ladki,Navvulaata," M.M. Sreelekha,  Mano"
1012,Kya Scene Hai,Sisindhri," Raj,  Anupama,  Mano"
1013,Mandalin Beat,Sruthilayalu, K. V. Mahadevan
1014,Ammammagarillu,Ammammagarillu, S.P. Balasubrahmanyam
1015,Urikee Chiru Chinuka,Modati Cinema," Swaraj,  Sri Ram Partha Sarthy"
1016,Yemi Cheyyavachu,Rangeli, Mano
1017,Om Ani,Sri Seetharamula Kalyanam Chothamu Rarandi," M. M. Keeravani,  S.P. Balasubrahmanyam,  Sunitha"
1018,Adigava Matyna,Keka," Chakri,  Kousalya,  Hemachandra"
1019,Soniye,Samudram, Sashi Pretham
1020,Chitti Chitti Adugaa,Dhoni," Ilaiyaraaja,  Shreya Ghoshal,  Naresh Iyer"
1021,Muddu Gumma,Thaali," Vidhya Sagar,  Sujatha Mohan,  Gangadhar"
