,song_name,movie_album,singers
340,Antha Siddanga,Konchem Ishtam Konchem Kashtam," Shankar-Ehsaan-Loy,  Sonu Nigam,  Shreya Ghoshal"
341,Samajavaragamana,Top Hero (Original Motion Picture Soundtrack)," Jonnuvittula,  S.P.Balasubramanyam,  Chitra"
342,Eppudo (Female),Sontham," Devi Sri Prasad,  Sumangali"
345,Sambarala,Preminchukundam Raa," S. P. Balasubramaniyam,  K. S. Chitra,  Sangeetha Sajith"
354,Em Vaano,Naari Naari Naduma Murari," S.P. Balasubrahmanyam,  P. Susheela"
355,Preminchadame,Prematho Raa, Srinivas
357,Diri Diri (Oye Oye),Josh," Kunal Ganjawala,  Sandeep Chowta"
360,Vadhuvai Raave Naa,Shubhalekhalu (Original Motion Picture Soundtrack)," V.Venkatesh,  S.P.Balasubramanyam,  Chitra"
363,Rum Pum bum,Disco Raja," Bappi Lahiri,  Ravi Teja"
369,Aakasam Sakshiga,Adavi Ramudu," Mani Sharma,  Sonu Nigam,  Mahalakshmi Iyer"
372,Dandalaya,Coolie No. 1, S.P. Balasubrahmanyam
375,Nee Maayaloduni,Maayalodu (Original Motion Picture Soundtrack)," Gaduri Vishwandha Sastry,  S.P.Balasubramanyam,  Chitra"
383,Adugo Maharaju,Suryavamsam," Mano,  Sujatha Mohan"
384,Epudepududani,Nirnayam," S.P. Balasubrahmanyam,  S. Janaki"
385,Dill Kaalaasee,Kick," Thaman S,  Anushka Manchanda"
387,Kokamma Cheppamma,Donga Mogudu," S.P. Balasubrahmanyam,  S. Janaki"
388,Nuvventha Andagathe,Malleswari, Karthik
389,Entha Naatu Premo,Number One (Original Motion Picture Soundtrack)," Seetharama Shastry,  S.P.Balasubramanyam,  Chitra"
391,Asa Asaga,Sankranthi," S.A. Raj Kumar,  S.P. Balasubrahmanyam"
392,Aa Roje Tholisari,Pilla Nuvvu Leni Jeevitham," Anoop Rubens,  Sreerama Chandra"
394,Amma Sampangi Reku,Satruvu," S. P. Balasubrahmanyam,  P. Susheela"
395,Andela Ravamidhi,Swarna Kamalam," S. P. Balasubrahmanyam,  Vani Jayaram"
396,O Prema,Sri Seetharamula Kalyanam Chothamu Rarandi," M. M. Keeravani,  S.P. Balasubrahmanyam,  Sunitha"
397,Yemo Aunemo (Humming),Nee Sneham," R.P. Patnaik,  Usha"
398,Radhe .. Radhe,Chirujallu," Vandemataram Srinivas,  K. S. Chithra,  S.P. Balasubrahmanyam,  Vishala"
401,Chi Chi CHi,Nuvvu Leka Nenu Lenu," R. P. Patnaik,  Usha,  Lenina"
402,Dhin Dhin Dhinak,Manasantha Nuvve," R.P. Patnaik,  Mahalakshmi Iyer"
404,Ventapaduthundhi,Vaana," Kamalakar,  K. S. Chithra"
405,Suvvi Suvvi Suwala,Pellikanuka," M.M. Keeravani,  S.P. Balasubrahmanyam,  Malgudi Shubha"
406,Gopilola,Ladies Tailor," S.P. Balasubrahmanyam,  S.P. Sailaja"
407,Nalo Nenu Lene,Avunu Validdharu Istapaddaru," Chakri,  Kausalya,  Sandeep"
409,Allei Allei,Cheliyaa," A.R. Rahman,  Abhay Jodhpurkar,  Chinmayi"
413,Ku Ku Ku,Ninne Ishtapaddanu," R.P. Patnaik,  K. S. Chithra,  S.P. Balasubrahmanyam"
414,Ooranta Utsavam,Chennakesava Reddy," Mani Sharma,  S.P. Balasubrahmanyam,  Sujatha Mohan"
419,Preminchava,Aaro Pranam," S.P. Balasubrahmanyam,  K. S. Chithra,  Annupamaa"
422,Just Do It,Bhadra," Devi Sri Prasad,  Tanvi Shah,  Timmy"
423,Maagha Maasavela,Ela Cheppanu," Koti,  Udit Narayan,  Shreya Ghoshal"
425,Solo Brathuke So Better (Title Song),Solo Brathuke So Better," Thaman S,  Vishal Dadlani"
426,Kalalalo Nuvve,Chirujallu," Vandemataram Srinivas,  Udit Narayan,  Kavita Krishnamurthy"
427,Aadhi Bikshuvu,Sirivennela, S.P. Balasubrahmanyam
428,Sarasakura Dora,M. Dharmaraju M.A.," Raj-Koti,  S.P. Balasubrahmanyam,  Malgadi Shubha"
429,Kolu Kolu Koyilamma,Number One (Original Motion Picture Soundtrack)," Jonnuvittula,  S.P.Balasubramanyam,  Chitra"
431,Chumantra Kaali,Maayalodu (Original Motion Picture Soundtrack)," Seetharama Shastry,  S.P.Balasubramanyam"
432,Pudunne Puttindi,Satruvu," S. Janaki,  S. P. Balasubrahmanyam"
436,Andamaina,Number One (Original Motion Picture Soundtrack)," Jonnuvittula,  S.P.Balasubramanyam,  Chitra"
439,Mogali Podalu,Chandralekha," Sandeep Chowta,  Rajesh Krishnan,  Sujatha Mohan"
444,Manchu Thakina,Ela Cheppanu," Koti,  Mallikarjun"
445,Indiramma,Mahathma, S P Balasubrahmanyam
447,Ee Chempaku Selaveeyaku,Donga Mogudu," S.P. Balasubrahmanyam,  P. Susheela"
448,Nee Pedavulatho,Srimathi Vellostha," Koti,  S.P. Balasubrahmanyam,  K. S. Chithra"
449,Toli Adugaina Padalede,Snehitudu, Aalap Raju
450,Oohalevo Rege,Antham," Mano,  Kavitha Krishnamurthy"
451,Nijamante,April 1st Vidudala," Ilaiyaraaja,  Mano"
452,Ohori Nayano,Trinethrudu," Raj-Koti,  K. S. Chithra,  Mano"
453,Chinni Padala,Preminchedi Endukamma," Ilaiyaraaja,  S.P. Balasubrahmanyam"
454,Theli Manchu,Swathi Kiranam, Vani Jayaram
456,Maattekki Thooge,Bavagaru Bagunnara," S.P. Balasubrahmanyam,  Febi"
458,Mellaga Mellaga - Female,Asha Asha Asha, K. S. Chithra
460,Ammaho,Kantri," Mani Sharma,  K. S. Chithra,  Karthik"
462,Parugulu Thiy,Maryada Ramanna, S P Balasubrahmanyam
464,Hayamma Hayamma,Ladies Tailor," S. Janaki,  S.P. Balasubrahmanyam"
465,Dholare Dhamadam,Vaana," Kamalakar,  Ranjith"
468,Maimarupaa,Cheliyaa," A.R. Rahman,  Shashaa Tirupati"
469,Nemmadi Nemmadi,Gowri," Koti,  Sunitha,  Sandep"
471,Nagaram,Adavi Ramudu," Mani Sharma,  Mallikarjun"
472,Vaye Janmalu,Priyamainaneeku," Shivashankar,  S.P. Balasubrahmanyam"
473,Ela Entha Sepu,Sasirekha Parinayam," Mani Sharma,  Rahul Nambiar"
476,Cool &amp; Lovely,Johnny, Ramana Gogula
477,Are Inka Jinka,Dharma Kshetram," Ilaiyaraaja,  S.P. Balasubrahmanyam,  S. Janaki"
478,Chinnataname,Prati Roju Pandaage, Vijay Yesudas
480,Bad Bad Boy,Josh, Ranjith
484,Inka Yedo Kaavalantu,Ninne Pelladatha," Hariharan,  Sowmya"
486,Lovely Lakumuki,Trinethrudu," Raj-Koti,  S. Janaki,  S.P. Balasubrahmanyam"
487,Veyyinokka Jillala Varaku,Surya IPS," Ilaiyaraaja,  S.P. Balasubrahmanyam"
488,Anathineeyara,Swathi Kiranam, Vani Jayaram
489,Ninnu Choodugaane,Allari Primikudu (Original Motion Picture Soundtrack)," Veturi,  S.P.Balasubramanyam,  Chitra"
491,O Kala Kannadi,Tajmahal," K. S. Chithra,  S. P. Balasubrahmanyam"
492,Goo Gumma,Pavitra Prema," Koti,  K. S. Chithra,  S.P. Balasubrahmanyam"
495,Urime Megham,Modati Cinema," Swaraj,  Sonu Nigam,  K. S. Chithra"
498,Vyshnavi Bhargavi,Swathi Kiranam, Vani Jayaram
500,Baagunnave,Rukmini," S.P. Balasubrahmanyam,  K. S. Chithra"
502,Muvvante Myna,Vaana," Kamalakar,  Mallikarjun"
503,Porapatidhi,Ladies Tailor," S. Janaki,  S.P. Balasubrahmanyam"
504,Ye Janmamo,Rakshana (Original Motion Picture Soundtrack)," M.M.Keeravani,  Veturi,  Chitra"
505,Morethukochindhi,Cheliyaa," A.R. Rahman,  A.R. Reihana,  Tipu,  Nikhita Gandhi"
506,Naanu IASsu Maga,Naanu IASsu Maga, Sirivennela
508,Jingu Jingu Cheera,Lorry Driver," S.P. Balasubrahmanyam,  Chitra"
509,Arere Dada Petti,Janaki Ramudu," K. V. Mahadevan,  S.P. Balasubrahmanyam,  P. Susheela"
513,Unnatta Lenatta,Vaana," Kamalakar,  Ranjith"
515,Bangaru Bomma,Gillikajjalu," S.P. Balasubrahmanyam,  K. S. Chithra"
516,Veyyinokka,Ravanasura, Anurag Kulkarni
517,Shiva Poojaku,Swarna Kamalam," S. P. Balasubrahmanyam,  P. Susheela"
518,Gudu Gudu Guncham,Ravoyi Chandamama," Mani Sharma,  Sukhwinder Singh,  Lalitha Sagari,  Smitha (Nivedhitha)"
520,Ayyo Ayyo,Bobbili Raja," Ilaiyaraaja,  S.P. Balasubrahmanyam"
521,Chuttu Pakkala,Rudraveena," Ilaiyaraaja,  S.P. Balasubrahmanyam"
524,Intikeldam Padavammo,Aavida Maa Aavide," Sri,  K. S. Chithra,  Swarnalatha,  S.P. Balasubrahmanyam"
525,Auditorium Music Bit,Nee Sneham, R.P. Patnaik
526,Mellaga Mellaga - Male,Asha Asha Asha," P. Unnikrishnan,  Annupamaa"
527,Viche Chirugali (Female),Naalo Vunna Prema," Koti,  K. S. Chithra"
528,"Chukkallara, Part-2",Apathbhandavudu," S.P. Balasubrahmanyam,  Chitra"
529,Chummade Chummade,Aavida Maa Aavide," Sri,  Poornima,  Rajesh Krishnan"
530,Evvariki,Josh," Ujjaini Mukherjee,  Rahul Vaidya"
531,Neethone,Rudraveena," Ilaiyaraaja,  K.J. Yesudas"
533,Nee Raaka Kosam,Yatra, Shankar Mahadevan
534,Okka Saari Kindiki Raa,Kalasinaduddam," S.A. Raj Kumar,  Hariharan,  Sujatha Mohan"
535,Noraara Pilichina,Preminche Manasu Alludugaru Vachcharu Telugu," M. M. Keeravani,  S.P. Balasubrahmanyam"
536,Chekkera,Naani," A.R. Rahman,  S.P. Balasubrahmanyam,  Sujatha Mohan"
537,Cheppalani,Rudraveena," Ilaiyaraaja,  S.P. Balasubrahmanyam"
538,Hello Guru,Criminal (Original Motion Picture Soundtrack)," Vennelakanti,  S.P.Balasubramanyam,  Chitra"
539,Spicy Spicy Girl,Krishnam Vande Jagathgurum," Mani Sharma,  Hemachandra,  Sravanabhargavi"
540,Putthadi Bommanti,Ooyala," S.V. Krishna Reddy,  S.P. Balasubrahmanyam,  Sunitha,  Upadrasta"
541,Odhante Vinade,Bobbili Raja," Ilaiyaraaja,  S. Janaki,  S.P. Balasubrahmanyam"
546,Abbanee Pattentha,Lorry Driver," S.P. Balasubrahmanyam,  Chitra"
549,Attention Everybody,Coolie No. 1, S.P. Balasubrahmanyam
550,"O Prema, Part 1",Manasunna Maaraju," Sonu Nigam,  Vandemataram Srinivas"
553,Onamalu Nerpalani,Iddaru Iddare, S. P. Balasubrahmanyam
554,Nuvvu Nijam,Manasu Maata Vinadhu," Sree Kalyanramana,  Sunitha"
556,Kondameda,Pandaga," M. M. Keeravani,  K. S. Chithra,  S.P. Balasubrahmanyam"
557,Chanda O Chanda,Panchadara Chilaka, S.P. Balasubrahmanyam
558,Okkate Aasa,April 1st Vidudala," Ilaiyaraaja,  K. S. Chithra,  Mano"
559,Chempala Kempula,Trinethrudu," Raj-Koti,  S. Janaki,  S.P. Balasubrahmanyam"
561,Dream Girl,Gulabi," Suresh Peters,  Suchitra Krishnamoorthi"
564,Nee Parichayamutho,Choosi Choodangaane (Original Motion Picture Soundtrack)," Sid Sriram,  Ananth Sriram"
565,Ninghi Nela Oouyala,Gillikajjalu," S.P. Balasubrahmanyam,  K. S. Chithra"
566,Siggoo Poobanthi,Swayam Krishi," S.P. Balasubrahmanyam,  S. Janaki,  S.P. Shailaja"
567,Ecstacy Privacy,Sitha Rama Raju," M. M. Keeravani,  K. S. Chithra"
569,Ennallako Ila Vennane Koyila,Maa Aavida Meeda Ottu Mee Aavida Chala Manchidi," Sirivennela Sitaramasastri,  Chandrabose,  Srinivasa Murthy,  S. P. Balasubrahmanyam,  K. S. Chithra"
571,Dandalayya Undralayya,Mooshika Vahana," Ilaiyaraaja,  S.P. Balasubrahmanyam"
572,Jye Jye Mahakaya,Muddula Priyudu," M. M. Keeravani,  S.P. Balasubrahmanyam"
573,Rangeli Holi,Chakram," Chakri,  Shankar Mahadevan"
574,Sapuduayani Cheyaledu,Satya," Mano,  Swarnalatha"
575,Jariginadanta Nijamani,Ooyala," S.V. Krishna Reddy,  K. S. Chithra,  S.P. Balasubrahmanyam"
576,ABC Daatindo Ledo,Vamsi, Shankar Mahadevan
578,Natukottudu,Trinethrudu," Raj-Koti,  S. Janaki,  S.P. Balasubrahmanyam"
580,Koluvye Unnade,Swarna Kamalam," S. P. Balasubrahmanyam,  P. Susheela"
581,Sahasame Cheyyara,Chandralekha," Sandeep Chowta,  S.P. Balasubrahmanyam"
582,Thallipegu Chudu Ela,Narappa," Saindhavi,  Mani Sharma"
583,Koka Raika,Seemasimham," Mani Sharma,  S.P. Balasubrahmanyam,  Kavita Krishnamurthy"
585,Aksharaalu Rende,Abbaigari Pelli," Koti,  S.P. Balasubrahmanyam"
586,I Love You,Ninne Ishtapaddanu," R.P. Patnaik,  Kausalya,  S.P. Charan"
587,Godari Revulona,Rukmini, Sujatha Mohan
588,Chittikoona ( Pathos ),Maa Aayana Bangaram," Vandemataram Srinivas,  K.J. Yesudas"
590,Thattaha Thattaha,Aavida Maa Aavide," Sri,  S.P. Balasubrahmanyam,  Sujatha Mohan"
592,He Papa,Trinethrudu," Raj-Koti,  Jojo,  S.P. Balasubrahmanyam"
594,Ee Bomma Naa Kosam,Gandhi," Mani Sharma,  K. S. Chithra,  S.P. Balasubrahmanyam"
595,Nieto Vellipoidi (Party Mix),Ninne Pelladatha, S.P. Balasubrahmanyam
596,Sarele Vooruko,Little Soldiers, Sri
597,Pedavullo Pepsicola,Shriraam, R.P. Patnaik
598,Aa Navvulo Emunnado,Ela Cheppanu," Koti,  Karthik"
599,Ekasekatatha,Sitha Rama Raju," M. M. Keeravani,  S.P. Balasubrahmanyam,  Sujatha Mohan"
600,Vayasu Sogasu Kalisina Vela,Naari Naari Naduma Murari," S.P. Balasubrahmanyam,  P. Susheela"
601,Vuylala Vuylala,Sitha Rama Raju, M. M. Keeravani
603,Sriman Mahalakshmi,Diwali Special, Baby Kalpana
604,O Naa Priyatama,Naalo Vunna Prema," Koti,  K. S. Chithra,  Mano"
606,Natarajane,Swarna Kamalam, S.P. Sailaja
607,Veri Manasa,Jodi," A.R. Rahman,  K. S. Chithra,  S.P. Balasubrahmanyam"
608,Ayyare Ayyare,Bhalevadivi Basu," Mani Sharma,  K. S. Chithra,  S.P. Balasubrahmanyam"
609,Cheri Yasodaku,Swarna Kamalam, S.P. Sailaja
610,Sakhike,Swarna Kamalam, P. Susheela
612,Bodi Chadhuvulu,Manasicchi Choodu," Mani Sharma,  Mano,  Murali,  Teja"
613,Abbani Entha Debbani,Coolie No. 1," S.P. Balasubrahmanyam,  Ilaiyaraaja"
615,Jama Jama Jama,Criminal (Original Motion Picture Soundtrack)," Seetharama Shastry,  S.P.Balasubramanyam,  Chitra,  Sujatha Mohan"
616,Vellipothe Elaa,Okariki Okaru," M. M. Keeravani,  Shreya Ghoshal"
617,Merise Tharalone,Sirivennela, S.P. Balasubrahmanyam
618,Andhamaina,Srimathi Vellostha," Koti,  K.J. Yesudas"
619,Ooh Andi Pilla,Gokulamlo Seetha," Muralidhar,  Swarnalatha"
621,Konaseema Kurradanirro,Navvuthu Bathakalira," Devi Sri Prasad,  K. S. Chithra,  S.P. Balasubrahmanyam"
622,Spider Man,Naani," A.R. Rahman,  Kunal Ganjawala,  Poornima"
623,"O Prema, Part 2",Manasunna Maaraju," Rajesh Krishnan,  Vandemataram Srinivas"
624,Maanava Seva,Rudraveena," Ilaiyaraaja,  K.J. Yesudas"
625,Shivani Bhavani (Female),Swathi Kiranam, Vani Jayaram
626,Yenthanga Undho,Uugadi," S.V. Krishna Reddy,  Unni Krishnan,  Sunitha"
628,Ee Gaali Ee Nela,Pellikanuka," M.M. Keeravani,  K. S. Chithra"
629,Thelavarademo (Female),Sruthilayalu," K. V. Mahadevan,  P. Susheela"
630,Tulasi Dalamulache,Rudraveena," Ilaiyaraaja,  K.J. Yesudas"
631,Bhangaru Bommaku,Pellikanuka," Bhanumathi Ramakrishna,  M.M. Keeravani,  S.P. Balasubrahmanyam"
632,No Problem,Love Birds," A.R. Rahman,  Appaci Indian"
633,O Manmadha,Vijayendra Varma," Koti,  Udit Narayan,  Shreya Ghoshal"
634,Saradaga Samayam,Vamsaniki Okkadu," Koti,  S.P. Balasubrahmanyam"
